"concat";"geo";"priority";"id"
"1-? ??????????? ????????, 33";"55.190668, 61.452338";"1";"213"
"1-? ???????????? ????????, 1";"55.182063, 61.351332";"1";"214"
"1-? ???????????? ????????, 10";"55.182315, 61.351341";"1";"215"
"1-? ???????????? ????????, 12";"55.182326, 61.351035";"1";"216"
"1-? ???????????? ????????, 13";"55.182012, 61.350559";"1";"217"
"1-? ???????????? ????????, 14";"55.182305, 61.350532";"1";"218"
"1-? ???????????? ????????, 16";"55.182418, 61.350002";"1";"219"
"1-? ???????????? ????????, 18";"55.182125, 61.350182";"1";"220"
"1-? ???????????? ????????, 2";"55.182439, 61.352949";"1";"221"
"1-? ???????????? ????????, 3";"55.182043, 61.351035";"1";"222"
"1-? ???????????? ????????, 4";"55.18232, 61.352455";"1";"223"
"1-? ???????????? ????????, 6";"55.182336, 61.352095";"1";"224"
"1-? ???????????? ????????, 8";"55.182331, 61.351673";"1";"225"
"1-? ???????? ????????, 1";"55.174949, 61.479683";"1";"226"
"1-? ???????? ????????, 10";"55.174429, 61.478973";"1";"227"
"1-? ???????? ????????, 12";"55.174296, 61.478964";"1";"228"
"1-? ???????? ????????, 14";"55.174146, 61.478928";"1";"229"
"1-? ???????? ????????, 16";"55.174018, 61.478865";"1";"230"
"1-? ???????? ????????, 16?";"55.174085, 61.478291";"1";"231"
"1-? ???????? ????????, 2";"55.174979, 61.479153";"1";"232"
"1-? ???????? ????????, 2?";"55.175005, 61.478551";"1";"233"
"1-? ???????? ????????, 3";"55.174655, 61.479683";"1";"234"
"1-? ???????? ????????, 4";"55.174825, 61.479099";"1";"235"
"1-? ???????? ????????, 5";"55.174368, 61.47953";"1";"236"
"1-? ???????? ????????, 6";"55.174686, 61.479081";"1";"237"
"1-? ???????? ????????, 7";"55.174085, 61.479431";"1";"238"
"1-? ???????? ????????, 8";"55.174558, 61.479036";"1";"239"
"1-? ???????? ????????, 3";"55.182351, 61.344765";"1";"240"
"1-? ???????? ????????, 4";"55.182326, 61.344046";"1";"241"
"1-? ???????? ????????, 5";"55.182089, 61.344756";"1";"242"
"1-? ???????? ????????, 6";"55.182022, 61.344316";"1";"243"
"1-? ???????? ????????, 7";"55.18175, 61.3449";"1";"244"
"1-? ????????? ????????, 1";"55.193073, 61.478605";"1";"245"
"1-? ????????? ????????, 2";"55.193479, 61.47821";"1";"246"
"1-? ????????? ????????, 3";"55.19316, 61.478309";"1";"247"
"1-? ????????? ????????, 5";"55.193227, 61.478021";"1";"248"
"1-? ???????? ????????, 2?";"55.182464, 61.349068";"1";"249"
"1-? ???????? ????????, 10";"55.175144, 61.470942";"1";"250"
"1-? ???????? ????????, 12";"55.175159, 61.470592";"1";"251"
"1-? ???????? ????????, 14";"55.175236, 61.470215";"1";"252"
"1-? ???????? ????????, 16";"55.175278, 61.469703";"1";"253"
"1-? ???????? ????????, 18";"55.175386, 61.469164";"1";"254"
"1-? ???????? ????????, 2";"55.174871, 61.472505";"1";"255"
"1-? ???????? ????????, 4";"55.174933, 61.472029";"1";"256"
"1-? ???????? ????????, 6";"55.174959, 61.471877";"1";"257"
"1-? ???????? ????????, 8";"55.175036, 61.471302";"1";"258"
"1-? ??????????? ????????, 1";"55.102931, 61.362507";"1";"259"
"1-? ??????????? ????????, 2";"55.103173, 61.362588";"1";"260"
"1-? ??????????? ????????, 3";"55.10309, 61.36221";"1";"261"
"1-? ??????????? ????????, 4";"55.103338, 61.362264";"1";"262"
"1-? ??????????? ????????, 5";"55.103235, 61.361932";"1";"263"
"1-? ??????????? ????????, 6";"55.103513, 61.361932";"1";"264"
"1-? ??????????? ????????, 7";"55.103394, 61.361626";"1";"265"
"1-? ??????????? ????????, 8";"55.103708, 61.361554";"1";"266"
"1-? ??????????? ????????, 9";"55.103564, 61.361123";"1";"267"
"1-? ????????? ????????, 1";"55.161533, 61.378218";"1";"268"
"1-? ???????? ????????, 1";"55.157891, 61.508761";"1";"269"
"1-? ???????? ????????, 12";"55.159146, 61.507468";"1";"270"
"1-? ???????? ????????, 13";"55.159126, 61.509633";"1";"271"
"1-? ???????? ????????, 14";"55.159347, 61.507594";"1";"272"
"1-? ???????? ????????, 15";"55.15929, 61.509633";"1";"273"
"1-? ???????? ????????, 16";"55.159594, 61.507612";"1";"274"
"1-? ???????? ????????, 17";"55.159542, 61.509552";"1";"275"
"1-? ???????? ????????, 18";"55.159815, 61.507665";"1";"276"
"1-? ???????? ????????, 19";"55.15966, 61.509561";"1";"277"
"1-? ???????? ????????, 1?";"55.157619, 61.508878";"1";"278"
"1-? ???????? ????????, 20?";"55.160164, 61.507288";"1";"279"
"1-? ???????? ????????, 21";"55.159789, 61.50957";"1";"280"
"1-? ???????? ????????, 22";"55.16, 61.507576";"1";"281"
"1-? ???????? ????????, 23?";"55.160113, 61.509705";"1";"282"
"1-? ???????? ????????, 25";"55.160854, 61.510154";"1";"283"
"1-? ???????? ????????, 26";"55.16253, 61.510567";"1";"284"
"1-? ???????? ????????, 27";"55.161003, 61.510082";"1";"285"
"1-? ???????? ????????, 28?";"55.162649, 61.510747";"1";"286"
"1-? ???????? ????????, 2?";"55.159501, 61.508357";"1";"287"
"1-? ???????? ????????, 2?";"55.158976, 61.508186";"1";"288"
"1-? ???????? ????????, 2?";"55.159979, 61.508151";"1";"289"
"1-? ???????? ????????, 2?";"55.159856, 61.508106";"1";"290"
"1-? ???????? ????????, 2?";"55.160545, 61.508708";"1";"291"
"1-? ???????? ????????, 3";"55.158138, 61.508663";"1";"292"
"1-? ???????? ????????, 31";"55.163307, 61.511393";"1";"293"
"1-? ???????? ????????, 33";"55.163708, 61.511798";"1";"294"
"1-? ???????? ????????, 35";"55.163939, 61.512148";"1";"295"
"1-? ???????? ????????, 4";"55.158323, 61.507216";"1";"296"
"1-? ???????? ????????, 6";"55.158544, 61.507288";"1";"297"
"1-? ???????? ????????, 7";"55.158421, 61.508797";"1";"298"
"1-? ???????? ????????, 8";"55.158848, 61.507468";"1";"299"
"1-? ????????? ????????, 1";"55.16431, 61.526548";"1";"300"
"1-? ????????? ????????, 10";"55.163595, 61.526791";"1";"301"
"1-? ????????? ????????, 11";"55.163538, 61.527276";"1";"302"
"1-? ????????? ????????, 12";"55.16342, 61.52688";"1";"303"
"1-? ????????? ????????, 13";"55.163389, 61.527482";"1";"304"
"1-? ????????? ????????, 14";"55.163271, 61.527087";"1";"305"
"1-? ????????? ????????, 2";"55.164212, 61.526216";"1";"306"
"1-? ????????? ????????, 2?";"55.164402, 61.526009";"1";"307"
"1-? ????????? ????????, 3";"55.164181, 61.526755";"1";"308"
"1-? ????????? ????????, 4";"55.164053, 61.526377";"1";"309"
"1-? ????????? ????????, 5";"55.163996, 61.526934";"1";"310"
"1-? ????????? ????????, 6";"55.163883, 61.526521";"1";"311"
"1-? ????????? ????????, 7";"55.163842, 61.527078";"1";"312"
"1-? ????????? ????????, 8";"55.163754, 61.526656";"1";"313"
"1-? ????????? ????????, 9";"55.163703, 61.527195";"1";"314"
"1-? ?????????? ????????, 1";"55.113828, 61.33589";"1";"315"
"1-? ?????????? ????????, 2";"55.114029, 61.335458";"1";"316"
"1-? ?????????? ????????, 3";"55.113622, 61.335647";"1";"317"
"1-? ?????????? ????????, 4";"55.113931, 61.335288";"1";"318"
"1-? ?????????? ????????, 6";"55.113776, 61.335126";"1";"319"
"1-? ?????????? ????????, 6?";"55.11374, 61.335081";"1";"320"
"1-? ????????? ????????, 10";"55.117633, 61.381273";"1";"321"
"1-? ????????? ????????, 12";"55.117757, 61.38156";"1";"322"
"1-? ????????? ????????, 14";"55.117952, 61.38121";"1";"323"
"1-? ????????? ????????, 16";"55.118065, 61.380859";"1";"324"
"1-? ????????? ????????, 18";"55.118153, 61.380554";"1";"325"
"1-? ????????? ????????, 2";"55.117134, 61.38174";"1";"326"
"1-? ????????? ????????, 20";"55.118029, 61.380401";"1";"327"
"1-? ????????? ????????, 22";"55.117839, 61.38023";"1";"328"
"1-? ????????? ????????, 22?";"55.117664, 61.380653";"1";"329"
"1-? ????????? ????????, 24";"55.117952, 61.379916";"1";"330"
"1-? ????????? ????????, 26";"55.118055, 61.379763";"1";"331"
"1-? ????????? ????????, 28";"55.118174, 61.37953";"1";"332"
"1-? ????????? ????????, 4";"55.117216, 61.381353";"1";"333"
"1-? ????????? ????????, 6";"55.11737, 61.381093";"1";"334"
"1-? ????????? ????????, 8";"55.117448, 61.380895";"1";"335"
"1-? ???????? ????????, 1";"55.192441, 61.475596";"1";"336"
"1-? ???????? ????????, 10";"55.193047, 61.474302";"1";"337"
"1-? ???????? ????????, 11";"55.193186, 61.47273";"1";"338"
"1-? ???????? ????????, 11?";"55.19298, 61.473053";"1";"339"
