===База данных gkh-inform74

== Структура таблицы streets8

|------
|Столбец|Тип|Null|По умолчанию
|------
|**concat**|varchar(50)|Да|NULL
|geo|varchar(25)|Да|NULL
|priority|tinyint(1)|Нет|1
|//**id**//|int(11)|Нет|
== Дамп данных таблицы streets8

|улица Расковой, 15А|55.189563, 61.370466|1|34874
|улица Расковой, 17|55.189542, 61.368768|1|34875
|улица Расковой, 18|55.189989, 61.375254|1|34876
|улица Расковой, 22|55.189999, 61.374634|1|34877
|улица Расковой, 24|55.189984, 61.374293|1|34878
|улица Расковой, 26|55.189969, 61.374005|1|34879
|улица Расковой, 28|55.189948, 61.373538|1|34880
|улица Расковой, 2А|55.190128, 61.378587|1|34881
|улица Расковой, 3|55.189424, 61.375829|1|34882
|улица Расковой, 30|55.189953, 61.373286|1|34883
|улица Расковой, 32|55.189948, 61.373071|1|34884
|улица Расковой, 34|55.189938, 61.372756|1|34885
|улица Расковой, 36|55.189927, 61.37246|1|34886
|улица Расковой, 38|55.189897, 61.372056|1|34887
|улица Расковой, 42|55.190287, 61.369801|1|34888
|улица Расковой, 44|55.19002, 61.368525|1|34889
|улица Расковой, 5|55.18966, 61.375155|1|34890
|улица Расковой, 6|55.190071, 61.375802|1|34891
|улица Расковой, 7|55.189629, 61.374427|1|34892
|улица Расковой, 9|55.189563, 61.373736|1|34893
|улица Репина, 1|55.181606, 61.449311|1|34894
|улица Репина, 10|55.180444, 61.449634|1|34895
|улица Репина, 11|55.180269, 61.450119|1|34896
|улица Репина, 12|55.180249, 61.449742|1|34897
|улица Репина, 13|55.180012, 61.450236|1|34898
|улица Репина, 14|55.179951, 61.449895|1|34899
|улица Репина, 15|55.179699, 61.450506|1|34900
|улица Репина, 16|55.179647, 61.450164|1|34901
|улица Репина, 17|55.179467, 61.450649|1|34902
|улица Репина, 18|55.179421, 61.450317|1|34903
|улица Репина, 19|55.179313, 61.450757|1|34904
|улица Репина, 2|55.181498, 61.448943|1|34905
|улица Репина, 20|55.179082, 61.450515|1|34906
|улица Репина, 21|55.179097, 61.45091|1|34907
|улица Репина, 22/1|55.178933, 61.450542|1|34908
|улица Репина, 22/2|55.178799, 61.450595|1|34909
|улица Репина, 3|55.181282, 61.449482|1|34910
|улица Репина, 4|55.181205, 61.449131|1|34911
|улица Репина, 5|55.180994, 61.449679|1|34912
|улица Репина, 6|55.180963, 61.449284|1|34913
|улица Репина, 6/2|55.180866, 61.449383|1|34914
|улица Репина, 7|55.180758, 61.449841|1|34915
|улица Репина, 8|55.18066, 61.449509|1|34916
|улица Репина, 9|55.180547, 61.449958|1|34917
|улица Родькина, 1|55.110553, 61.339186|1|34918
|улица Родькина, 10|55.1108, 61.340723|1|34919
|улица Родькина, 14|55.110815, 61.340498|1|34920
|улица Родькина, 16|55.110826, 61.340085|1|34921
|улица Родькина, 18|55.110826, 61.33951|1|34922
|улица Родькина, 19|55.111454, 61.334309|1|34923
|улица Родькина, 2|55.110769, 61.342501|1|34924
|улица Родькина, 20|55.110872, 61.339151|1|34925
|улица Родькина, 20А|55.110862, 61.338935|1|34926
|улица Родькина, 21|55.111593, 61.333644|1|34927
|улица Родькина, 23|55.112206, 61.331775|1|34928
|улица Родькина, 25|55.11251, 61.331281|1|34929
|улица Родькина, 27|55.112494, 61.331048|1|34930
|улица Родькина, 29|55.112613, 61.331039|1|34931
|улица Родькина, 3|55.110568, 61.33898|1|34932
|улица Родькина, 31|55.112752, 61.330661|1|34933
|улица Родькина, 31А|55.112808, 61.330482|1|34934
|улица Родькина, 33|55.112906, 61.330185|1|34935
|улица Родькина, 33/1|55.112942, 61.330078|1|34936
|улица Родькина, 33А|55.112386, 61.329727|1|34937
|улица Родькина, 33Б|55.11219, 61.32953|1|34938
|улица Родькина, 33Г|55.112638, 61.329826|1|34939
|улица Родькина, 33Д|55.112705, 61.329898|1|34940
|улица Родькина, 33Ж|55.112762, 61.329952|1|34941
|улица Родькина, 35|55.112947, 61.329565|1|34942
|улица Родькина, 37|55.113153, 61.329628|1|34943
|улица Родькина, 39|55.113292, 61.329242|1|34944
|улица Родькина, 4|55.110764, 61.342034|1|34945
|улица Родькина, 44|55.112144, 61.333285|1|34946
|улица Родькина, 46|55.112396, 61.333545|1|34947
|улица Родькина, 48|55.112257, 61.332925|1|34948
|улица Родькина, 5|55.110579, 61.343705|1|34949
|улица Родькина, 50|55.112309, 61.332763|1|34950
|улица Родькина, 52|55.112468, 61.332377|1|34951
|улица Родькина, 54|55.112638, 61.331928|1|34952
|улица Родькина, 56|55.112752, 61.331587|1|34953
|улица Родькина, 58А|55.112958, 61.331057|1|34954
|улица Родькина, 6|55.110805, 61.341603|1|34955
|улица Родькина, 60|55.113066, 61.33085|1|34956
|улица Родькина, 62|55.113195, 61.330383|1|34957
|улица Родькина, 64|55.113467, 61.329826|1|34958
|улица Родькина, 64А|55.11374, 61.330015|1|34959
|улица Родькина, 8|55.110785, 61.341064|1|34960
|улица Рождественского, 1|55.161471, 61.445978|1|34961
|улица Рождественского, 10|55.15678, 61.443517|1|34962
|улица Рождественского, 11|55.156538, 61.445295|1|34963
|улица Рождественского, 13|55.15554, 61.445017|1|34964
|улица Рождественского, 13/2|55.156075, 61.447119|1|34965
|улица Рождественского, 13/3|55.15587, 61.450506|1|34966
|улица Рождественского, 5|55.159804, 61.445807|1|34967
|улица Рождественского, 6|55.157783, 61.443481|1|34968
|улица Рождественского, 6/2|55.156554, 61.442196|1|34969
|улица Рождественского, 7|55.158874, 61.445727|1|34970
|улица Рождественского, 7А|55.159048, 61.446472|1|34971
|улица Рождественского, 7Б|55.158524, 61.446409|1|34972
|улица Рождественского, 8В|55.156842, 61.441873|1|34973
|улица Рождественского, 9|55.157701, 61.445421|1|34974
|улица Рождественского, 9Б|55.157804, 61.44623|1|34975
|улица Румянцева, 1|55.262311, 61.380114|1|34976
|улица Румянцева, 10|55.257478, 61.37909|1|34977
|улица Румянцева, 10/2|55.257422, 61.37909|1|34978
|улица Румянцева, 11|55.257909, 61.379871|1|34979
|улица Румянцева, 12|55.257206, 61.379099|1|34980
|улица Румянцева, 13|55.257268, 61.379916|1|34981
|улица Румянцева, 15|55.256703, 61.379916|1|34982
|улица Румянцева, 15А|55.25678, 61.381353|1|34983
|улица Румянцева, 17|55.256262, 61.380051|1|34984
|улица Румянцева, 18|55.256149, 61.37917|1|34985
|улица Румянцева, 18А|55.256283, 61.379197|1|34986
|улица Румянцева, 19|55.255605, 61.379988|1|34987
|улица Румянцева, 19А|55.255903, 61.380967|1|34988
|улица Румянцева, 2|55.261495, 61.377823|1|34989
|улица Румянцева, 20|55.255816, 61.379108|1|34990
|улица Румянцева, 21|55.255257, 61.380168|1|34991
|улица Румянцева, 21А|55.255267, 61.380931|1|34992
|улица Румянцева, 22|55.255529, 61.379126|1|34993
|улица Румянцева, 23|55.25482, 61.379997|1|34994
|улица Румянцева, 24|55.255251, 61.379108|1|34995
|улица Румянцева, 25|55.254215, 61.380033|1|34996
|улица Румянцева, 26|55.25501, 61.379197|1|34997
|улица Румянцева, 27|55.253763, 61.380033|1|34998
|улица Румянцева, 28|55.249725, 61.379386|1|34999
|улица Румянцева, 28/1|55.25381, 61.37582|1|35000
|улица Румянцева, 28/2|55.253286, 61.374445|1|35001
|улица Румянцева, 28/3|55.252686, 61.372819|1|35002
|улица Румянцева, 28/4|55.252799, 61.373242|1|35003
|улица Румянцева, 28/5|55.252742, 61.373673|1|35004
|улица Румянцева, 28/6|55.252163, 61.373224|1|35005
|улица Румянцева, 28/8|55.253769, 61.374607|1|35006
|улица Румянцева, 28Б|55.251516, 61.379018|1|35007
|улица Румянцева, 28к1|55.25283, 61.37776|1|35008
|улица Румянцева, 28к11|55.253476, 61.37644|1|35009
|улица Румянцева, 28к12|55.253769, 61.373206|1|35010
|улица Румянцева, 28к13|55.25325, 61.372837|1|35011
|улица Румянцева, 28к15|55.25265, 61.375469|1|35012
|улица Румянцева, 28к2|55.253086, 61.378039|1|35013
|улица Румянцева, 28к3|55.252301, 61.377661|1|35014
|улица Румянцева, 28к4|55.252732, 61.376853|1|35015
|улица Румянцева, 28к5|55.251526, 61.375595|1|35016
|улица Румянцева, 28к6|55.252973, 61.37502|1|35017
|улица Румянцева, 28к8|55.254225, 61.374302|1|35018
|улица Румянцева, 29|55.253199, 61.380221|1|35019
|улица Румянцева, 2А|55.260685, 61.378182|1|35020
|улица Румянцева, 2Б|55.26188, 61.378371|1|35021
|улица Румянцева, 2В|55.261311, 61.378784|1|35022
|улица Румянцева, 3|55.261931, 61.380132|1|35023
|улица Румянцева, 30|55.249202, 61.379458|1|35024
|улица Румянцева, 31|55.252424, 61.380967|1|35025
|улица Румянцева, 32|55.248807, 61.37944|1|35026
|улица Румянцева, 33|55.251352, 61.38032|1|35027
|улица Румянцева, 34|55.248288, 61.379431|1|35028
|улица Румянцева, 35|55.250397, 61.380221|1|35029
|улица Румянцева, 36|55.247847, 61.37944|1|35030
|улица Румянцева, 37|55.250074, 61.380212|1|35031
|улица Румянцева, 37А|55.250166, 61.380168|1|35032
|улица Румянцева, 38|55.247488, 61.379449|1|35033
|улица Румянцева, 39|55.249776, 61.380195|1|35034
|улица Румянцева, 4|55.259305, 61.378703|1|35035
|улица Румянцева, 41|55.249427, 61.380275|1|35036
|улица Румянцева, 43|55.249114, 61.380204|1|35037
|улица Румянцева, 45|55.248499, 61.380204|1|35038
|улица Румянцева, 47|55.248093, 61.380257|1|35039
|улица Румянцева, 5|55.261557, 61.380015|1|35040
|улица Румянцева, 6|55.258745, 61.378739|1|35041
|улица Румянцева, 7|55.259459, 61.379826|1|35042
|улица Румянцева, 8|55.25773, 61.37909|1|35043
|улица Румянцева, 9|55.258643, 61.379871|1|35044
|улица Руставели, 10|55.139185, 61.442259|1|35045
|улица Руставели, 11|55.13884, 61.442026|1|35046
|улица Руставели, 12|55.139545, 61.441648|1|35047
|улица Руставели, 13|55.139988, 61.435414|1|35048
|улица Руставели, 14|55.139792, 61.439367|1|35049
|улица Руставели, 15|55.140219, 61.434336|1|35050
|улица Руставели, 16|55.140302, 61.437453|1|35051
|улица Руставели, 1Б|55.13744, 61.447191|1|35052
|улица Руставели, 2|55.136602, 61.451152|1|35053
|улица Руставели, 20|55.140502, 61.436213|1|35054
|улица Руставели, 22|55.14061, 61.4351|1|35055
|улица Руставели, 24|55.141007, 61.433977|1|35056
|улица Руставели, 25|55.141428, 61.42865|1|35057
|улица Руставели, 25А|55.140893, 61.428183|1|35058
|улица Руставели, 26|55.14149, 61.432234|1|35059
|улица Руставели, 27|55.141912, 61.426386|1|35060
|улица Руставели, 27А|55.141351, 61.426107|1|35061
|улица Руставели, 28|55.141897, 61.43015|1|35062
|улица Руставели, 28А|55.142118, 61.429081|1|35063
|улица Руставели, 29|55.142715, 61.423395|1|35064
|улица Руставели, 2А|55.137394, 61.451799|1|35065
|улица Руставели, 2Ак1|55.137482, 61.450443|1|35066
|улица Руставели, 2Б|55.136473, 61.451952|1|35067
|улица Руставели, 3|55.13759, 61.444972|1|35068
|улица Руставели, 30|55.143054, 61.427123|1|35069
|улица Руставели, 30А|55.14256, 61.429368|1|35070
|улица Руставели, 30Б|55.143106, 61.429602|1|35071
|улица Руставели, 32|55.14308, 61.426054|1|35072
|улица Руставели, 32А|55.142725, 61.426296|1|35073
|улица Руставели, 3А|55.137574, 61.445601|1|35074
|улица Руставели, 3Б|55.137873, 61.446185|1|35075
|улица Руставели, 4|55.138305, 61.447568|1|35076
|улица Руставели, 4А|55.139257, 61.446167|1|35077
|улица Руставели, 4Б|55.138953, 61.447478|1|35078
|улица Руставели, 5|55.138202, 61.444891|1|35079
|улица Руставели, 6|55.138634, 61.445834|1|35080
|улица Руставели, 7|55.138048, 61.443894|1|35081
|улица Руставели, 8|55.139169, 61.443095|1|35082
|улица Руставели, 9|55.138444, 61.443463|1|35083
|улица Руставели, 9А|55.137569, 61.44313|1|35084
|улица Рылеева, 10|55.129128, 61.375676|1|35085
|улица Рылеева, 10/1|55.129036, 61.377122|1|35086
|улица Рылеева, 10А|55.128068, 61.374409|1|35087
|улица Рылеева, 11|55.131301, 61.374122|1|35088
|улица Рылеева, 12|55.128624, 61.378263|1|35089
|улица Рылеева, 13|55.131126, 61.374418|1|35090
|улица Рылеева, 15|55.130945, 61.374787|1|35091
|улица Рылеева, 16|55.126308, 61.38103|1|35092
|улица Рылеева, 16/1|55.127322, 61.381129|1|35093
|улица Рылеева, 16А|55.127636, 61.37882|1|35094
|улица Рылеева, 16А/2|55.128336, 61.379395|1|35095
|улица Рылеева, 16Б|55.12847, 61.37864|1|35096
|улица Рылеева, 17|55.130827, 61.375083|1|35097
|улица Рылеева, 18|55.126431, 61.383168|1|35098
|улица Рылеева, 18/1|55.125458, 61.381811|1|35099
|улица Рылеева, 19|55.130745, 61.375362|1|35100
|улица Рылеева, 20|55.125016, 61.383123|1|35101
|улица Рылеева, 20/1|55.125916, 61.385099|1|35102
|улица Рылеева, 21|55.130477, 61.375838|1|35103
|улица Рылеева, 23|55.13024, 61.37635|1|35104
|улица Рылеева, 24|55.125932, 61.38465|1|35105
|улица Рылеева, 24К1|55.125855, 61.383671|1|35106
|улица Рылеева, 25|55.130081, 61.376745|1|35107
|улица Рылеева, 26|55.125335, 61.384497|1|35108
|улица Рылеева, 26с1|55.125546, 61.38518|1|35109
|улица Рылеева, 27|55.129828, 61.377311|1|35110
|улица Рылеева, 27А|55.129931, 61.377095|1|35111
|улица Рылеева, 29|55.129617, 61.377742|1|35112
|улица Рылеева, 29А|55.129551, 61.378003|1|35113
|улица Рылеева, 2Б|55.131635, 61.371256|1|35114
|улица Рылеева, 2В|55.130971, 61.370412|1|35115
|улица Рылеева, 3|55.132037, 61.372298|1|35116
|улица Рылеева, 31|55.129355, 61.378317|1|35117
|улица Рылеева, 33|55.129216, 61.378721|1|35118
|улица Рылеева, 37|55.128768, 61.379718|1|35119
|улица Рылеева, 39|55.128578, 61.380132|1|35120
|улица Рылеева, 39А|55.12849, 61.380338|1|35121
|улица Рылеева, 4|55.131162, 61.372936|1|35122
|улица Рылеева, 41|55.128259, 61.380805|1|35123
|улица Рылеева, 43|55.128053, 61.381281|1|35124
|улица Рылеева, 45|55.128048, 61.381551|1|35125
|улица Рылеева, 45А|55.127528, 61.38253|1|35126
|улица Рылеева, 45Б|55.127461, 61.38271|1|35127
|улица Рылеева, 47|55.127795, 61.381865|1|35128
|улица Рылеева, 47А|55.127172, 61.383258|1|35129
|улица Рылеева, 4А|55.130626, 61.372981|1|35130
|улица Рылеева, 5|55.131836, 61.372667|1|35131
|улица Рылеева, 51|55.126756, 61.384201|1|35132
|улица Рылеева, 53|55.126611, 61.38465|1|35133
|улица Рылеева, 55|55.126091, 61.387615|1|35134
|улица Рылеева, 6|55.130878, 61.373583|1|35135
|улица Рылеева, 6А|55.130575, 61.373565|1|35136
|улица Рылеева, 6Б|55.130307, 61.373215|1|35137
|улица Рылеева, 7|55.131599, 61.373286|1|35138
|улица Рылеева, 8|55.130415, 61.37405|1|35139
|улица Рылеева, 8/1|55.1297, 61.373152|1|35140
|улица Рылеева, 9|55.131409, 61.373897|1|35141
|улица Саблина, 1|55.121968, 61.39737|1|35142
|улица Саблина, 11|55.121232, 61.398996|1|35143
|улица Саблина, 13|55.121072, 61.399409|1|35144
|улица Саблина, 15|55.120784, 61.400056|1|35145
|улица Саблина, 15А|55.120892, 61.399796|1|35146
|улица Саблина, 18|55.1203, 61.40029|1|35147
|улица Саблина, 3|55.12186, 61.397631|1|35148
|улица Саблина, 5|55.121726, 61.39799|1|35149
|улица Саблина, 9|55.121402, 61.398664|1|35150
|улица Савина, 1|55.1645, 61.447963|1|35151
|улица Савина, 10|55.165698, 61.445601|1|35152
|улица Савина, 11|55.165215, 61.437507|1|35153
|улица Савина, 12|55.165729, 61.444891|1|35154
|улица Савина, 13|55.165539, 61.43669|1|35155
|улица Савина, 14|55.165791, 61.443912|1|35156
|улица Савина, 15|55.165595, 61.4358|1|35157
|улица Савина, 17|55.165647, 61.435135|1|35158
|улица Савина, 17А|55.165652, 61.43545|1|35159
|улица Савина, 18|55.165616, 61.44075|1|35160
|улица Савина, 2|55.165431, 61.449715|1|35161
|улица Савина, 20|55.165673, 61.439708|1|35162
|улица Савина, 24|55.165791, 61.43775|1|35163
|улица Савина, 3|55.164762, 61.445628|1|35164
|улица Савина, 4|55.165487, 61.448988|1|35165
|улица Савина, 5|55.16485, 61.444307|1|35166
|улица Савина, 5А|55.164521, 61.444424|1|35167
|улица Савина, 6|55.165539, 61.448017|1|35168
|улица Савина, 8|55.165585, 61.44729|1|35169
|улица Савина, 8А|55.165755, 61.446652|1|35170
|улица Салавата Юлаева, 1|55.18927, 61.278083|1|35171
|улица Салавата Юлаева, 11к1|55.17992, 61.284003|1|35172
|улица Салавата Юлаева, 12|55.190292, 61.278128|1|35173
|улица Салавата Юлаева, 13|55.178121, 61.286563|1|35174
|улица Салавата Юлаева, 13А|55.178336, 61.288468|1|35175
|улица Салавата Юлаева, 14|55.19056, 61.27714|1|35176
|улица Салавата Юлаева, 15|55.177169, 61.288629|1|35177
|улица Салавата Юлаева, 15А|55.178146, 61.289887|1|35178
|улица Салавата Юлаева, 15Б|55.177529, 61.289546|1|35179
|улица Салавата Юлаева, 17|55.176517, 61.28915|1|35180
|улица Салавата Юлаева, 17А|55.177673, 61.290632|1|35181
|улица Салавата Юлаева, 17Б|55.176784, 61.290632|1|35182
|улица Салавата Юлаева, 17В|55.175889, 61.289456|1|35183
|улица Салавата Юлаева, 17Г|55.176059, 61.28871|1|35184
|улица Салавата Юлаева, 1А|55.188519, 61.278002|1|35185
|улица Салавата Юлаева, 1Б|55.187795, 61.279089|1|35186
|улица Салавата Юлаева, 1В|55.188643, 61.278847|1|35187
|улица Салавата Юлаева, 1Г|55.189146, 61.277463|1|35188
|улица Салавата Юлаева, 1Д|55.189686, 61.278577|1|35189
|улица Салавата Юлаева, 20|55.189578, 61.276457|1|35190
|улица Салавата Юлаева, 20с1|55.189994, 61.277445|1|35191
|улица Салавата Юлаева, 22|55.189871, 61.275307|1|35192
|улица Салавата Юлаева, 23|55.173488, 61.292375|1|35193
|улица Салавата Юлаева, 23А|55.174306, 61.294486|1|35194
|улица Салавата Юлаева, 23Б|55.173056, 61.293058|1|35195
|улица Салавата Юлаева, 24|55.189043, 61.27475|1|35196
|улица Салавата Юлаева, 25|55.173283, 61.294235|1|35197
|улица Салавата Юлаева, 25А|55.173596, 61.297217|1|35198
|улица Салавата Юлаева, 25Б|55.17373, 61.293947|1|35199
|улица Салавата Юлаева, 26|55.189676, 61.274121|1|35200
|улица Салавата Юлаева, 26А|55.190025, 61.27307|1|35201
|улица Салавата Юлаева, 27|55.17283, 61.293633|1|35202
|улица Салавата Юлаева, 27А|55.173092, 61.294675|1|35203
|улица Салавата Юлаева, 28|55.188524, 61.274238|1|35204
|улица Салавата Юлаева, 29|55.171884, 61.294576|1|35205
|улица Салавата Юлаева, 29А|55.172712, 61.296076|1|35206
|улица Салавата Юлаева, 29Б|55.172655, 61.296651|1|35207
|улица Салавата Юлаева, 29В|55.171339, 61.295178|1|35208
|улица Салавата Юлаева, 3|55.188668, 61.276754|1|35209
|улица Салавата Юлаева, 3/1|55.188853, 61.276529|1|35210
|улица Салавата Юлаева, 30|55.188375, 61.272406|1|35211
|улица Салавата Юлаева, 32|55.188026, 61.273385|1|35212
|улица Салавата Юлаева, 34|55.187481, 61.272145|1|35213
|улица Салавата Юлаева, 34/1|55.187707, 61.272756|1|35214
|улица Салавата Юлаева, 37|55.169051, 61.298367|1|35215
|улица Салавата Юлаева, 38/1|55.176589, 61.2865|1|35216
|улица Салавата Юлаева, 3А|55.187938, 61.27678|1|35217
|улица Салавата Юлаева, 3Б|55.187178, 61.278469|1|35218
|улица Салавата Юлаева, 3В|55.188062, 61.277562|1|35219
|улица Салавата Юлаева, 5|55.188545, 61.276107|1|35220
|улица Салавата Юлаева, 6|55.190832, 61.27935|1|35221
|улица Салавата Юлаева, 8|55.191027, 61.277912|1|35222
|улица Салтыкова, 1|55.135907, 61.376637|1|35223
|улица Салтыкова, 10|55.134687, 61.378317|1|35224
|улица Салтыкова, 11|55.134924, 61.37882|1|35225
|улица Салтыкова, 12|55.134569, 61.378578|1|35226
|улица Салтыкова, 13|55.134944, 61.379242|1|35227
|улица Салтыкова, 15|55.134697, 61.379422|1|35228
|улица Салтыкова, 15А|55.134713, 61.3797|1|35229
|улица Салтыкова, 16|55.13427, 61.379332|1|35230
|улица Салтыкова, 17|55.134589, 61.379907|1|35231
|улица Салтыкова, 18|55.134106, 61.379413|1|35232
|улица Салтыкова, 19|55.134363, 61.380302|1|35233
|улица Салтыкова, 2|55.1355, 61.376493|1|35234
|улица Салтыкова, 20|55.134059, 61.379853|1|35235
|улица Салтыкова, 21|55.134085, 61.380716|1|35236
|улица Салтыкова, 22|55.133828, 61.380374|1|35237
|улица Салтыкова, 23|55.134075, 61.381255|1|35238
|улица Салтыкова, 24|55.133735, 61.380635|1|35239
|улица Салтыкова, 25/1|55.134003, 61.381497|1|35240
|улица Салтыкова, 25/2|55.133895, 61.381749|1|35241
|улица Салтыкова, 26|55.133581, 61.380895|1|35242
|улица Салтыкова, 27|55.133756, 61.382036|1|35243
|улица Салтыкова, 28|55.133406, 61.38129|1|35244
|улица Салтыкова, 3|55.135655, 61.377338|1|35245
|улица Салтыкова, 3-1|55.135773, 61.377221|1|35246
|улица Салтыкова, 30|55.133282, 61.381533|1|35247
|улица Салтыкова, 31|55.13321, 61.382791|1|35248
|улица Салтыкова, 32|55.133179, 61.381767|1|35249
|улица Салтыкова, 33|55.133045, 61.383186|1|35250
|улица Салтыкова, 34|55.132865, 61.382368|1|35251
|улица Салтыкова, 35|55.132917, 61.383446|1|35252
|улица Салтыкова, 36|55.132834, 61.382521|1|35253
|улица Салтыкова, 37|55.132809, 61.383707|1|35254
|улица Салтыкова, 38|55.132716, 61.382836|1|35255
|улица Салтыкова, 39|55.132742, 61.383833|1|35256
|улица Салтыкова, 4|55.135356, 61.376799|1|35257
|улица Салтыкова, 40|55.132325, 61.383303|1|35258
|улица Салтыкова, 41|55.132562, 61.384228|1|35259
|улица Салтыкова, 42|55.132412, 61.383545|1|35260
|улица Салтыкова, 43|55.132361, 61.384623|1|35261
|улица Салтыкова, 44|55.132278, 61.383788|1|35262
|улица Салтыкова, 45|55.132438, 61.385818|1|35263
|улица Салтыкова, 46|55.132078, 61.38421|1|35264
|улица Салтыкова, 48|55.131836, 61.384767|1|35265
|улица Салтыкова, 49|55.131625, 61.386267|1|35266
|улица Салтыкова, 49А|55.131815, 61.385773|1|35267
|улица Салтыкова, 5|55.135464, 61.377688|1|35268
|улица Салтыкова, 51|55.131517, 61.386528|1|35269
|улица Салтыкова, 51А|55.131403, 61.386779|1|35270
|улица Салтыкова, 52|55.13109, 61.386438|1|35271
|улица Салтыкова, 53|55.131295, 61.387031|1|35272
|улица Салтыкова, 53А|55.13127, 61.387085|1|35273
|улица Салтыкова, 54|55.130951, 61.386869|1|35274
|улица Салтыкова, 55|55.131213, 61.387246|1|35275
|улица Салтыкова, 56|55.130698, 61.387381|1|35276
|улица Салтыкова, 58|55.130528, 61.387749|1|35277
|улица Салтыкова, 59|55.131074, 61.387489|1|35278
|улица Салтыкова, 59А|55.130848, 61.388073|1|35279
|улица Салтыкова, 6|55.135217, 61.377194|1|35280
|улица Салтыкова, 60|55.130281, 61.388261|1|35281
|улица Салтыкова, 61|55.13074, 61.388414|1|35282
|улица Салтыкова, 62|55.130106, 61.388684|1|35283
|улица Салтыкова, 64А|55.129607, 61.389717|1|35284
|улица Салтыкова, 66|55.129309, 61.390462|1|35285
|улица Салтыкова, 67|55.129978, 61.390049|1|35286
|улица Салтыкова, 68|55.129221, 61.39066|1|35287
|улица Салтыкова, 69|55.130019, 61.391397|1|35288
|улица Салтыкова, 6А|55.134991, 61.377194|1|35289
|улица Салтыкова, 7|55.135351, 61.377931|1|35290
|улица Салтыкова, 70|55.129139, 61.390875|1|35291
|улица Салтыкова, 71|55.129514, 61.39101|1|35292
|улица Салтыкова, 72|55.129056, 61.391055|1|35293
|улица Салтыкова, 73|55.129298, 61.391468|1|35294
|улица Салтыкова, 74|55.128933, 61.391316|1|35295
|улица Салтыкова, 76|55.128851, 61.391504|1|35296
|улица Салтыкова, 8|55.134903, 61.377832|1|35297
|улица Салтыкова, 9|55.135222, 61.3782|1|35298
|улица Самохина, 1|55.169617, 61.553668|1|35299
|улица Самохина, 10|55.169257, 61.546284|1|35300
|улица Самохина, 10А|55.169349, 61.546589|1|35301
|улица Самохина, 11|55.169442, 61.55162|1|35302
|улица Самохина, 11А|55.16919, 61.551674|1|35303
|улица Самохина, 12|55.169036, 61.545413|1|35304
|улица Самохина, 12А|55.169118, 61.545628|1|35305
|улица Самохина, 13|55.16939, 61.551386|1|35306
|улица Самохина, 13А|55.169195, 61.551485|1|35307
|улица Самохина, 13Б|55.169961, 61.550551|1|35308
|улица Самохина, 14|55.168943, 61.545035|1|35309
|улица Самохина, 14/1|55.168917, 61.544847|1|35310
|улица Самохина, 15|55.169349, 61.550803|1|35311
|улица Самохина, 150|55.165637, 61.535046|1|35312
|улица Самохина, 152|55.165472, 61.534606|1|35313
|улица Самохина, 154|55.165338, 61.534229|1|35314
|улица Самохина, 156|55.165133, 61.533672|1|35315
|улица Самохина, 158|55.165055, 61.533258|1|35316
|улица Самохина, 16|55.16885, 61.544263|1|35317
|улица Самохина, 160|55.164865, 61.532675|1|35318
|улица Самохина, 162|55.16468, 61.531983|1|35319
|улица Самохина, 166|55.164382, 61.531004|1|35320
|улица Самохина, 168|55.164212, 61.530465|1|35321
|улица Самохина, 16Б|55.168943, 61.542951|1|35322
|улица Самохина, 16В|55.169761, 61.545476|1|35323
|улица Самохина, 17|55.169277, 61.550264|1|35324
|улица Самохина, 170|55.164099, 61.530034|1|35325
|улица Самохина, 172|55.163939, 61.52945|1|35326
|улица Самохина, 174|55.163801, 61.529054|1|35327
|улица Самохина, 175|55.162597, 61.526952|1|35328
|улица Самохина, 176|55.163646, 61.528497|1|35329
|улица Самохина, 178|55.163523, 61.528075|1|35330
|улица Самохина, 179|55.162443, 61.526377|1|35331
|улица Самохина, 17А|55.169339, 61.550506|1|35332
|улица Самохина, 18|55.168706, 61.543544|1|35333
|улица Самохина, 180|55.163363, 61.5275|1|35334
|улица Самохина, 181|55.162247, 61.525856|1|35335
|улица Самохина, 182|55.16325, 61.527096|1|35336
|улица Самохина, 183|55.162078, 61.525084|1|35337
|улица Самохина, 184|55.163081, 61.526503|1|35338
|улица Самохина, 184/1|55.161754, 61.522569|1|35339
|улица Самохина, 188|55.164042, 61.518373|1|35340
|улица Самохина, 18А|55.168943, 61.543454|1|35341
|улица Самохина, 18В|55.169344, 61.543912|1|35342
|улица Самохина, 19|55.169241, 61.549868|1|35343
|улица Самохина, 190|55.164711, 61.517807|1|35344
|улица Самохина, 192|55.161918, 61.520233|1|35345
|улица Самохина, 1А|55.169586, 61.554153|1|35346
|улица Самохина, 1Б|55.169339, 61.554243|1|35347
|улица Самохина, 1В|55.169318, 61.55454|1|35348
|улица Самохина, 1Г|55.169529, 61.554629|1|35349
|улица Самохина, 1И|55.169144, 61.555213|1|35350
|улица Самохина, 2|55.169591, 61.547937|1|35351
|улица Самохина, 20|55.168588, 61.543176|1|35352
|улица Самохина, 21|55.1692, 61.549509|1|35353
|улица Самохина, 21А|55.169653, 61.549284|1|35354
|улица Самохина, 21В|55.169108, 61.550722|1|35355
|улица Самохина, 22|55.168521, 61.542817|1|35356
|улица Самохина, 23|55.169159, 61.548853|1|35357
|улица Самохина, 25|55.169123, 61.54862|1|35358
|улица Самохина, 25А|55.168886, 61.548162|1|35359
